Appointment_Appointment_ID,Task_Task_ID
614336,444862
481337,613076
563913,722047
732357,296266
321056,337173
265625,732617
737140,693810
754836,613419
564142,879203
568491,642218
153948,834103
449273,964664
952736,726637
464578,851477
778342,133641
846365,284879
341744,280696
826117,330788
649346,244350
163310,254508
521212,798472
586472,853777
395078,142600
234705,113657
602825,942380
408111,573846
880366,599985
426606,534309
902636,642030
808228,965991
324310,193948
815902,472778
279049,464673
716658,466438
944030,280575
834925,876570
572637,612810
645966,896963
330782,615522
518417,448521
833209,261135
459422,254508
319229,736044
754266,612810
952736,896629
220631,388015
643278,732617
788652,244067
377388,383664
462854,712150
707663,926686
645539,444862
657380,936648
495013,613419
300283,205430
192642,950864
364670,588539
226866,588539
986100,464673
484050,505816
982123,612810
495013,936648
263232,665661
481337,665661
448521,968596
172622,929063
449273,962590
371910,446032
408111,938629
381152,668430
822907,570340
463798,337373
481337,430461
329176,896629
222206,454579
723900,476515
563913,751985
792658,571102
518417,193948
362008,927301
787854,693532
369970,417327
461779,851477
311007,370878
575029,330788
167020,853777
627394,735248
826117,175170
830112,879203
730050,900250
321139,546596
265625,828627
521319,743829
631549,870816
124085,732617
461779,722047
313800,773328
331280,968596
716658,176903
928689,717697
617084,808152
400064,808152
609884,927301
568939,684000
311726,896629
492050,504353
334940,746407
672837,378345
700658,102509
239666,280575
300283,790808
632105,244067
321625,796159
343580,565840
192642,479901
153948,205430
737140,968596
425995,355176
680745,693532
123496,926686
882195,773328
487245,466498
872501,546596
367747,455193
258656,834103
715432,546596
731373,588539
487245,926686
730050,175170
718909,296011
875518,928420
376903,936648
652812,900250
859410,577262
496356,879203
969900,717697
481337,113938
688396,773661
211198,250119
746251,627169
271785,422825
822907,870816
487245,746407
481337,642218
584622,254561
941401,954653
137706,879783
920291,964664
428314,588539
737140,570162
736030,968596
327471,254508
833209,834103
146277,218149
609761,773661
462854,151478
568939,232749
115498,828627
600719,454579
707663,612810
368831,677811
637503,262259
224664,466438
586716,693532
700658,262259
321056,895754
716430,330342
614624,895754
830112,346237
395078,102509
920291,751985
697102,581637
609761,269491
321139,936648
162707,612236
493062,962590
713605,950864
492050,942380
204115,769999
851328,331368
405524,104805
834925,911582
328361,943691
124085,176903
349249,454579
860395,860955
368831,879203
697102,612810
891664,938629
431651,927301
496356,175170
518417,712150
801946,296011
745936,468538
672837,791446
707663,479901
682601,197547
926315,533344
320985,472877
352383,860123
859410,912692
329176,337173
834925,926686
208740,254561
576728,642218
716658,285463
489157,478281
645046,478281
882925,840792
292187,851477
182231,156309
394202,337173
182231,479901
394202,307970
803904,964664
668313,468538
725036,798472
369970,325924
147862,845609
527279,712150
492050,962590
972403,472877
486921,102509
459765,796159
275568,722047
212005,879203
408111,284879
245341,142600
207706,476515
613430,571102
928689,448521
940297,268233
692067,261135
718909,218149
258566,280575
881241,131388
680579,527275
803904,422825
898394,370878
887322,280575
864102,819280
781272,722138
594490,876570
970707,573846
622121,954653
203443,751985
758912,965991
470814,845609
821128,722047
942706,677811
718984,124258
521485,879203
801946,726637
891850,870816
951290,790808
679994,472877
387411,478281
473260,796159
137706,866022
476478,796159
113475,936648
661632,505816
212005,254508
968785,851477
643278,579681
708459,280696
574234,808152
258566,346237
121468,610582
525335,677811
859410,968596
661632,142297
952736,218149
407245,179663
962625,681418
833209,743829
504202,330788
801946,879203
568939,627308
473260,576780
111846,509320
816645,466438
184923,503121
247535,325924
334940,613419
781272,964664
939935,912692
846484,254561
723524,337173
175278,156309
147862,860955
752213,454579
114357,684000
234705,798472
197428,436027
258656,607219
655695,693810
330782,717697
121919,577443
688396,260961
